Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
06/02/2026,06/02/2026,06/04/2026,TSLA,TSLA,Buy,100,$250.00,($25000.00)
06/03/2026,06/03/2026,06/05/2026,AAPL,AAPL,Buy,100,$180.00,($18000.00)
06/04/2026,06/04/2026,06/06/2026,AAPL,AAPL,Buy,100,$150.00,($15000.00)
06/05/2026,06/05/2026,06/09/2026,SPY,SPY,Buy,10,$550.00,($5500.00)
06/10/2026,06/10/2026,06/12/2026,SPY,SPY,Sell,10,$560.00,$5600.00
06/12/2026,06/12/2026,06/13/2026,AAPL,AAPL 7/17/2026 Call $220.00,STO,1,$3.20,$320.00
06/15/2026,06/15/2026,06/15/2026,,ACH Deposit,ACH,,,$30000.00
06/18/2026,06/18/2026,06/18/2026,SPY,SPY Cash Div: 0.87500000/share (Ordinary Dividend),CDIV,,,$8.75
06/20/2026,06/20/2026,06/20/2026,,ADR Fee,AFEE,,,($2.50)
06/25/2026,06/25/2026,06/25/2026,,Margin Interest,INT,,,($12.34)
06/28/2026,06/28/2026,06/28/2026,,Robinhood Gold Subscription,GOLD,,,($5.00)
06/30/2026,06/30/2026,07/02/2026,CCIV,Churchill Capital Corp IV,Buy,100,$24.05,($2405.00)
